"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference"
"August 5, 2020",3,"3.1 Phillip Lim","Pashli","78,73 €","Good condition  More infos","Leather","Pink","25 cm","16 cm","8 cm","Hong Kong","Allu","","05/08/2020","11302871"
"August 6, 2020",12,"3.1 Phillip Lim",NA,"56,04 €","Very good condition  More infos","Leather","White","15.5 cm","21.5 cm","10 cm","Hong Kong","Allu","","05/08/2020","11302831"
"August 6, 2020",4,"3.1 Phillip Lim","Pashli","149,27 €","Good condition  More infos","Leather","Black","31.75 cm","25.4 cm","10.16 cm","Australia","Frankie","","01/08/2020","11274907"
"August 2, 2020",12,"3.1 Phillip Lim","Pashli","170 €","Very good condition  More infos","Leather","Burgundy","22 cm","20 cm","7 cm","France","Camille","","26/07/2020","11213316"
"August 4, 2020",3,"3.1 Phillip Lim","Pashli","213 €","Good condition  More infos","Leather","Black","32 cm","27 cm","10 cm","Germany","laura","","30/07/2020","11257133"
"August 5, 2020",4,"3.1 Phillip Lim",NA,"256,25 €","Very good condition  More infos","Leather","Navy","23 cm","18 cm","9 cm","Singapore","Natalie","","31/07/2020","11225921"
"July 30, 2020",0,"3.1 Phillip Lim","Pashli","65,60 €","Fair condition  More infos","Leather","Beige","8 cm","6 cm","3 cm","Hong Kong","glora","","30/07/2020","11253067"
"August 6, 2020",6,"3.1 Phillip Lim",NA,"195,44 €","Very good condition  More infos","Leather","Multicolour","48.3 cm","29.2 cm","11.4 cm","United States","Michele","","22/07/2020","11165370"
"July 30, 2020",11,"3.1 Phillip Lim",NA,"144,41 €","Very good condition  More infos","Leather","Green","33 cm","21.6 cm","7.6 cm","United Kingdom","xixi","","09/07/2020","11019941"
"August 2, 2020",11,"3.1 Phillip Lim","Pashli","110 €","Fair condition  More infos","Leather","Black","22 cm","18 cm","9 cm","Italy","Daniel","","17/07/2020","11105537"
"August 1, 2020",1,"3.1 Phillip Lim","Pashli","276,33 €","Very good condition  More infos","Leather","Gold","21 cm","17 cm","7.5 cm","Hong Kong","Muriel","Dustbag","08/03/2020","9643149"
"August 1, 2020",7,"3.1 Phillip Lim","Pashli","340 €","Very good condition  More infos","Leather","Red","32 cm","25 cm","11 cm","Italy","greta","","17/12/2019","8979975"
"August 15, 2019",41,"3.1 Phillip Lim","Pashli","284 €","Very good condition  More infos","Leather","Red","26 cm","21 cm","10 cm","Spain","zina","","29/03/2019","7190648"
"September 3, 2019",43,"3.1 Phillip Lim","Pashli","204,85 €","Very good condition  More infos","Leather","Red","22.9 cm","11.4 cm","6.4 cm","United Kingdom","Cherry","Dustbag","17/05/2019","7532767"
"September 17, 2019",38,"3.1 Phillip Lim","Pashli","276,80 €","Very good condition  More infos","Leather","Beige","32 cm","25 cm","11 cm","United Kingdom","emma","Dustbag","16/11/2018","6530685"
"January 10, 2020",14,"3.1 Phillip Lim","Pashli","415 €","Very good condition  More infos","Leather","Green","32 cm","23 cm","10 cm","Germany","suyi","","20/04/2019","7359975"
"August 1, 2020",20,"3.1 Phillip Lim",NA,"175 €","Very good condition  More infos","Exotic leathers","Black","40 cm","30 cm","10 cm","Spain","Irina","","14/12/2019","8966208"
"August 28, 2019",4,"3.1 Phillip Lim",NA,"162,10 €","Good condition  More infos","Leather","Multicolour","51 cm","35.5 cm","20 cm","United Kingdom","susan","","08/07/2019","7836741"
"October 29, 2019",9,"3.1 Phillip Lim","Pashli","400 €","Very good condition  More infos","Leather","Beige","32 cm","25 cm","10 cm","France","anais","Dustbag","15/11/2017","1783473"
"May 27, 2020",4,"3.1 Phillip Lim","Pashli","102,73 €","Very good condition  More infos","Leather","Brown","30 cm","24 cm","8 cm","Hong Kong","Carey","","03/05/2020","10209335"
"July 26, 2020",4,"3.1 Phillip Lim","Pashli","174,25 €","Very good condition  More infos","Leather","Black","31.8 cm","25.4 cm","10.2 cm","United Kingdom","Sylvia","","24/07/2020","11198777"
"July 22, 2020",8,"3.1 Phillip Lim","Pashli","165 €","Never worn  More infos","Pony-style calfskin","Anthracite","22 cm","16 cm","9 cm","Italy","Laura","Dustbag","15/07/2020","11082217"
"June 28, 2020",9,"3.1 Phillip Lim","Pashli","250 €","Very good condition  More infos","Leather","Turquoise","23 cm","19 cm","8 cm","Netherlands","Iryna","Dustbag","22/06/2020","10823031"
"July 9, 2020",3,"3.1 Phillip Lim","Pashli","280 €","Very good condition  More infos","Leather","Black","30 cm","30 cm","15 cm","France","auriane","","05/07/2020","10959627"
"July 24, 2020",7,"3.1 Phillip Lim","Pashli","311,74 €","Very good condition  More infos","Leather","Black","37 cm","28 cm","13 cm","Italy","Giovanna","Dustbag","05/07/2020","10963027"
"June 30, 2020",0,"3.1 Phillip Lim","Pashli","185 €","Very good condition  More infos","Leather","Blue","25 cm","20 cm","8 cm","Vestiaire Collective Paris","Vestiaire Collective Paris","","30/06/2020","10912519"
"July 12, 2020",12,"3.1 Phillip Lim","Pashli","180 €","Very good condition  More infos","Leather","Blue","21.59 cm","16.51 cm","7.62 cm","Germany","Christina","Dustbag","29/06/2020","10897352"
"July 4, 2020",2,"3.1 Phillip Lim","Pashli","250 €","Very good condition  More infos","Leather","Black","22 cm","20 cm","9 cm","Italy","Alessandra","Dustbag","03/07/2020","10944605"
"July 26, 2020",20,"3.1 Phillip Lim","Pashli","210 €","Never worn  More infos","Leather","Blue","31,8 cm","25,4 cm","10,2 cm","France","garance","","03/07/2020","10946768"
"June 29, 2020",13,"3.1 Phillip Lim","Pashli","220 €","Very good condition  More infos","Leather","Red","28 cm","19 cm","9 cm","Germany","jingyi","Dustbag","25/06/2020","10859448"
"July 1, 2020",1,"3.1 Phillip Lim","Pashli","336,43 €","Never worn  More infos","Leather","Multicolour",NA,NA,NA,"United Kingdom","eva","Dustbag","01/07/2020","10922584"
"July 10, 2020",8,"3.1 Phillip Lim","Pashli","208,54 €","Very good condition  More infos","Leather","Black","32 cm","25 cm","10 cm","Australia","T","Dustbag","24/06/2020","10843609"
"July 10, 2020",16,"3.1 Phillip Lim","Alix","153,80 €","Never worn  More infos","Leather","White","21.6 cm","14 cm","11.4 cm","United States","Angella","","30/06/2020","10915489"
"July 9, 2020",24,"3.1 Phillip Lim","Pashli","201 €","Very good condition  More infos","Leather","Black","37 cm","31 cm",NA,"Croatia","Nika","","14/06/2020","10710550"
"July 14, 2020",9,"3.1 Phillip Lim",NA,"93,31 €","Good condition  More infos","Leather","Black","26 cm","17 cm","9 cm","Austria","anne-christine","","04/07/2020","10957866"
"July 18, 2020",6,"3.1 Phillip Lim","Pashli","340 €","Very good condition  More infos","Leather","Blue","32 cm","23 cm","10 cm","Luxembourg","cristina","","12/06/2020","10679991"
"June 27, 2020",8,"3.1 Phillip Lim",NA,"110,48 €","Very good condition  More infos","Leather","White","20.3 cm","24.1 cm","10.2 cm","United States","renata","","21/06/2020","10814165"
"July 12, 2020",3,"3.1 Phillip Lim","Alix","90,71 €","Good condition  More infos","Leather","Grey","11.4 cm","14 cm","21.6 cm","Canada","Jialin","Dustbag","12/07/2020","11040251"
"July 9, 2020",22,"3.1 Phillip Lim","Pashli","174,83 €","Very good condition  More infos","Patent leather","Grey","23 cm","26 cm","7 cm","France","anne-sophie","","11/06/2020","10678488"
