"Designers","Number"
"3.1-Phillip-Lim",274
"APC",338
"Acne-Studios",215
"Alaïa",128
"Alexander-Mcqueen",347
"Alexander-Wang",634
"Anya-Hindmarch",424
"Armani-Jeans",122
"Balenciaga",4038
"Bally",250
"Bimba-y-Lola",243
"Bottega-Veneta",1916
"Burberry",2660
"Bvlgari",362
"By-Far",124
"Carolina-Herrera",393
"Cartier",390
"Celine",6114
"Chanel",11764
"Chloé",3495
"Christian-Louboutin",331
"Coach",1031
"Coccinelle",365
"Comme-Des-Garcons",127
"Cult-Gaia",275
"D&G",123
"Danse-Lente",174
"Delvaux",347
"Dior",7271
"Dkny",167
"Dolce-&-Gabbana",1341
"Emilio-Pucci",141
"Emporio-Armani",130
"Etro",242
"Fendi",6336
"Furla",1466
"Gerard-Darel",369
"Gianni-Versace",139
"Givenchy",1947
"Goyard",464
"Gucci",14791
"Hermès",4465
"Isabel-Marant",193
"Issey-Miyake",182
"J.W.-Anderson",332
"Jacquemus",585
"Jerome-Dreyfuss",849
"Jil-Sander",209
"Jimmy-Choo",445
"Karl-Lagerfeld",228
"Kate-Spade",264
"Kenzo",285
"Lancel",1125
"Lanvin",361
"Lauren-Ralph-Lauren",140
"Liu.Jo",122
"Loewe",1969
"Longchamp",1950
"Louis-Vuitton",18540
"MCM",533
"Maison-Martin-Margiela",187
"Maje",375
"Mansur-Gavriel",433
"Marc-Jacobs",1005
"Marc-by-Marc-Jacobs",920
"Marni",828
"Max-Mara",311
"Michael-Kors",2832
"Miu-Miu",1637
"Moschino-Love",272
"Moschino",412
"Mulberry",1838
"Non-Signé-/-Unsigned",1831
"Off-White",316
"Pinko",289
"Prada",8219
"Proenza-Schouler",496
"Ralph-Lauren",185
"Rebecca-Minkoff",169
"Saint-Laurent",4242
"Salvatore-Ferragamo",751
"Sandro",228
"See-by-Chloé",499
"Sonia-Rykiel",343
"Sophie-Hulme",208
"Staud",238
"Stella-McCartney",1639
"Sézane",196
"The-Kooples",124
"Tod's",724
"Tory-Burch",592
"Valentino-Garavani",2198
"Vanessa-Bruno",385
"Versace",499
"Vivienne-Westwood",348
"Wandler",204
"Yves-Saint-Laurent",1881
"Zadig-&-Voltaire",1120
"Zanellato",203
"Zara",138
