"","Date_sold","Sell_price_EU","Online_since","Start_price_EU","Likes","Designer","Model","Condition","Material","Color","Location","P_Width_cm","P_Height_cm","P_Depth_cm","SW_Dustbag","SW_Original_box","SW_Original_papers","SW_Card_or_certificate","Seller_name","ST_Expert_seller","ST_Professional_seller","ST_Trusted_seller","ST_Fashion_activist","ST_Concierge_service","Reference","Link"
"1",2020-06-17,0.9,2020-05-12,1100.73,1,"Louis Vuitton","Retiro PM","Very good condition","Cloth","Brown","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10319692","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-retiro-pm-louis-vuitton-handbag-10319692.shtml"
"2",2020-06-17,0.9,2020-05-12,1144.76,0,"Louis Vuitton","Alma","Very good condition","Patent leather","Brown","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10320307","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-patent-leather-alma-louis-vuitton-handbag-10320307.shtml"
"3",2020-06-17,0.9,2020-04-21,1030.28,18,"Louis Vuitton","Neverfull","Very good condition","Cloth","White","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10051865","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-cloth-neverfull-louis-vuitton-handbag-10051865.shtml"
"4",2020-06-17,0.9,2020-04-21,933.42,3,"Louis Vuitton","Tivoli","Very good condition","Cloth","Brown","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10052074","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-tivoli-louis-vuitton-handbag-10052074.shtml"
"5",2020-06-17,0.9,2020-04-21,907,6,"Louis Vuitton","Unknown Model","Very good condition","Cloth","Brown","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10051923","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10051923.shtml"
"6",2020-06-17,0.9,2020-04-21,1100.73,4,"Louis Vuitton","Neverfull","Very good condition","Cloth","Brown","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10051859","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10051859.shtml"
"7",2020-06-17,0.9,2020-04-21,1109.54,3,"Louis Vuitton","Neverfull","Very good condition","Cloth","Black","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10052588","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-cloth-neverfull-louis-vuitton-handbag-10052588.shtml"
"8",2020-08-20,0.86,2020-04-21,1021.48,2,"Louis Vuitton","Carry All","Very good condition","Leather","Black","Japan",0,0,0,0,0,0,0,"fashionista vintage",0,1,0,0,0,"10052573","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-carry-all-louis-vuitton-handbag-10052573.shtml"
"9",2020-05-23,15,2020-05-23,15,15,"Louis Vuitton","Alma BB","Very good condition","Denim - Jeans","Blue","France",23.5,17.5,11.5,0,0,0,0,"sophie",0,0,0,0,0,"10446099","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-alma-bb-louis-vuitton-handbag-10446099.shtml"
"10",2020-10-16,18.16,2020-10-16,18.2,8,"Louis Vuitton","Twist","Never worn","Leather","Red","United Kingdom",17,23,9,0,0,0,0,"Ellie",0,0,0,0,0,"12302042","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-leather-twist-louis-vuitton-handbag-12302042.shtml"
"11",2020-06-22,24,2020-06-18,25,12,"Louis Vuitton","Unknown Model","Good condition","Cotton","Brown","France",0,0,0,0,0,0,0,"the brand collector",0,1,0,0,0,"10776727","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cotton-louis-vuitton-handbag-10776727.shtml"
"12",2020-11-03,29,2020-11-03,29,3,"Louis Vuitton","Speedy","Fair condition","Cloth","Brown","Italy",21,30,17,0,0,0,0,"daniela",0,0,0,0,0,"12606609","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-12606609.shtml"
"13",2020-09-17,41,2020-09-17,41,29,"Louis Vuitton","No<U+00E9>","Good condition","Cloth","Brown","France",26,34,18.5,0,0,0,0,"celine",0,1,0,0,0,"11827860","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11827860.shtml"
"14",2020-07-16,49,2020-07-16,49,2,"Louis Vuitton","Unknown Model","Fair condition","Leather","Brown","France",0,0,0,1,1,0,0,"ks",0,0,0,0,0,"11106961","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-11106961.shtml"
"15",2020-10-26,55,2020-10-21,65,6,"Louis Vuitton","Unknown Model","Never worn","Cotton","Beige","The Canary Islands",56,39.5,0,0,0,0,0,"ruth",0,0,0,0,0,"12386834","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cotton-louis-vuitton-handbag-12386834.shtml"
"16",2020-05-09,55,2020-05-09,55,9,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","Denmark",45,32,19,0,0,0,0,"Tara",0,0,0,0,0,"10275624","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10275624.shtml"
"17",2020-10-28,55.37,2020-10-28,55.74,5,"Louis Vuitton","Bucket","Very good condition","Leather","Brown","United Kingdom",27.9,35.6,20.3,0,0,0,0,"Victoria",0,0,0,0,0,"12522863","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-bucket-louis-vuitton-handbag-12522863.shtml"
"18",2020-09-01,59,2020-09-01,59,6,"Louis Vuitton","Unknown Model","Fair condition","Plastic","Blue","France",0,0,0,0,0,0,0,"ks",0,0,0,0,0,"11608457","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-plastic-louis-vuitton-handbag-11608457.shtml"
"19",2020-05-07,60,2020-05-07,60,20,"Louis Vuitton","Vivian","Fair condition","Cloth","Brown","Italy",21,21,9,0,0,0,0,"Nina",0,0,0,0,0,"10252734","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-vivian-louis-vuitton-handbag-10252734.shtml"
"20",2020-09-21,65,2020-09-21,65,12,"Louis Vuitton","Pleaty","Very good condition","Denim - Jeans","Blue","Belgium",26,15,0,0,0,0,0,"Cami",0,0,0,0,0,"11874147","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-pleaty-louis-vuitton-handbag-11874147.shtml"
"21",2020-09-16,65.6,2020-09-16,66.09,7,"Louis Vuitton","Looping","Fair condition","Cloth","Brown","Switzerland",29.3,33,11,0,0,0,0,"eliane",0,0,0,0,0,"11825972","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11825972.shtml"
"22",2020-10-19,69,2020-10-18,69,3,"Louis Vuitton","Unknown Model","Fair condition","Patent leather","Beige","France",10.5,17,0,0,0,0,0,"ks",0,0,0,0,0,"12343390","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-12343390.shtml"
"23",2020-09-16,70,2020-09-16,70,8,"Louis Vuitton","Salsa","Very good condition","Cloth","Brown","Portugal",32,24,3.5,0,0,0,0,"maria",0,0,0,0,0,"11774202","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-11774202.shtml"
"24",2020-09-07,70,2020-09-07,70,7,"Louis Vuitton","Looping","Good condition","Cloth","Brown","France",35,30,4,0,0,0,0,"caroline",0,0,0,0,0,"11672379","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11672379.shtml"
"25",2020-09-20,80.65,2020-09-18,120,34,"Louis Vuitton","Cartouchi<U+00E8>re","Fair condition","Cloth","Camel","France",18,21,5,0,0,0,0,"tom",0,0,0,0,0,"11850589","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/camel-cloth-cartouchiere-louis-vuitton-handbag-11850589.shtml"
"26",2020-11-02,81.62,2020-11-02,81.91,9,"Louis Vuitton","Trotteur","Fair condition","Cloth","Brown","Hong Kong",11,8,8,0,0,0,0,"Amie",0,0,0,0,0,"12575415","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trotteur-louis-vuitton-handbag-12575415.shtml"
"27",2020-07-07,87.13,2020-07-02,114.48,16,"Louis Vuitton","Houston","Fair condition","Patent leather","Beige","Japan",0,0,0,0,0,0,0,"Brand street tokyo",0,1,0,0,0,"10938888","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-houston-louis-vuitton-handbag-10938888.shtml"
"28",2020-06-10,87.83,2020-03-23,170.42,26,"Louis Vuitton","Unknown Model","Very good condition","Cloth","Multicolour","Hong Kong",0,0,0,0,0,0,0,"izory",0,0,0,0,0,"9761999","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-louis-vuitton-handbag-9761999.shtml"
"29",2020-08-21,85.63,2020-08-07,123.28,6,"Louis Vuitton","Reade","Fair condition","Patent leather","Khaki","Japan",0,0,0,0,0,0,0,"Brand street tokyo",0,1,0,0,0,"11340392","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/khaki-patent-leather-reade-louis-vuitton-handbag-11340392.shtml"
"30",2020-09-05,89,2020-09-03,89,25,"Louis Vuitton","Unknown Model","Fair condition","Patent leather","Beige","France",10.5,17,0,0,0,0,0,"ks",0,0,0,0,0,"11636162","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-11636162.shtml"
"31",2020-07-26,89,2020-07-24,89,6,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","France",25.5,15.5,0,0,0,0,0,"ks",0,0,0,0,0,"11199736","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11199736.shtml"
"32",2020-08-22,89.15,2020-08-22,90.89,3,"Louis Vuitton","Sac d'<U+00E9>paule","Fair condition","Leather","Black","Hong Kong",32,28,14,0,0,0,0,"allu",0,1,0,0,0,"11477247","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-sac-depaule-louis-vuitton-handbag-11477247.shtml"
"33",2020-09-30,95,2020-09-29,95,14,"Louis Vuitton","Houston","Very good condition","Patent leather","Gold","France",0,0,0,0,0,0,0,"the brand collector",0,1,0,0,0,"11779018","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11779018.shtml"
"34",2020-05-18,102.81,2020-05-18,95.37,10,"Louis Vuitton","Unknown Model","Fair condition","Patent leather","Beige","United States",17,19,5.5,0,0,0,0,"heejin",0,0,0,0,0,"10394370","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10394370.shtml"
"35",2020-05-05,101.45,2020-05-03,113.61,17,"Louis Vuitton","Unknown Model","Fair condition","Patent leather","Beige","Hong Kong",17,19,5.5,0,0,0,0,"Mo",0,0,0,0,0,"10182602","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10182602.shtml"
