"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference","Seller_title","Address","Initial_price","Link","Current_price"
NA,1,"Louis Vuitton ","Retiro PM ","0.88","Very good condition","Cloth ","Brown ",NA,NA,NA,"Japan","fashionista vintage","","12/05/2020 ","10319692","Professional seller",NA,1100.73,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-retiro-pm-louis-vuitton-handbag-10319692.shtml",0.88
NA,0,"Louis Vuitton ","Alma ","0.88","Very good condition","Patent leather ","Brown ",NA,NA,NA,"Japan","fashionista vintage","","12/05/2020 ","10320307","Professional seller",NA,1144.76,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-patent-leather-alma-louis-vuitton-handbag-10320307.shtml",0.88
NA,18,"Louis Vuitton ","Neverfull ","0.88","Very good condition","Cloth ","White ",NA,NA,NA,"Japan","fashionista vintage","","21/04/2020 ","10051865","Professional seller",NA,1030.28,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-cloth-neverfull-louis-vuitton-handbag-10051865.shtml",0.88
NA,3,"Louis Vuitton ","Tivoli ","0.88","Very good condition","Cloth ","Brown ",NA,NA,NA,"Japan","fashionista vintage","","21/04/2020 ","10052074","Professional seller",NA,933.42,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-tivoli-louis-vuitton-handbag-10052074.shtml",0.88
NA,6,"Louis Vuitton ",NA,"0.88","Very good condition","Cloth ","Brown ",NA,NA,NA,"Japan","fashionista vintage","","21/04/2020 ","10051923","Professional seller",NA,907,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10051923.shtml",0.88
NA,4,"Louis Vuitton ","Neverfull ","0.88","Very good condition","Cloth ","Brown ",NA,NA,NA,"Japan","fashionista vintage","","21/04/2020 ","10051859","Professional seller",NA,1100.73,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10051859.shtml",0.88
NA,3,"Louis Vuitton ","Neverfull ","0.88","Very good condition","Cloth ","Black ",NA,NA,NA,"Japan","fashionista vintage","","21/04/2020 ","10052588","Professional seller",NA,1109.54,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-cloth-neverfull-louis-vuitton-handbag-10052588.shtml",0.88
NA,2,"Louis Vuitton ","Carry All ","0.88","Very good condition","Leather ","Black ",NA,NA,NA,"Japan","fashionista vintage","","21/04/2020 ","10052573","Professional seller",NA,1021.48,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-carry-all-louis-vuitton-handbag-10052573.shtml",0.88
NA,15,"Louis Vuitton ","Alma BB ","15","Very good condition","Denim - Jeans ","Blue ","23,5 cm","17,5 cm","11,5 cm","France","sophie","","23/05/2020 ","10446099","",NA,15,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-alma-bb-louis-vuitton-handbag-10446099.shtml",15
NA,8,"Louis Vuitton ","Twist ","18.2","Never worn","Leather ","Red ","17 cm","23 cm","9 cm","United Kingdom","Ellie","","16/10/2020 ","12302042","",NA,18.2,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-leather-twist-louis-vuitton-handbag-12302042.shtml",18.2
NA,12,"Louis Vuitton ",NA,"24","Good condition","Cotton ","Brown ",NA,NA,NA,"France","the brand collector","","18/06/2020 ","10776727","Professional seller",NA,25,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cotton-louis-vuitton-handbag-10776727.shtml",24
NA,1,"Louis Vuitton ","Speedy ","29","Fair condition","Cloth ","Brown ","21 cm","30 cm","17 cm","Italy","daniela","","03/11/2020 ","12606609","",NA,29,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-12606609.shtml",29
NA,27,"Louis Vuitton ","Noé ","41","Good condition","Cloth ","Brown ","26 cm","34 cm","18,5 cm","France","celine","","17/09/2020 ","11827860","Professional seller",NA,41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11827860.shtml",41
NA,2,"Louis Vuitton ",NA,"49","Fair condition","Leather ","Brown ",NA,NA,NA,"France","ks","Dustbag ,Original box","16/07/2020 ","11106961","",NA,49,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-11106961.shtml",49
NA,6,"Louis Vuitton ",NA,"55","Never worn","Cotton ","Beige ","56 cm","39.5 cm",NA,"The Canary Islands","ruth","","21/10/2020 ","12386834","",NA,65,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cotton-louis-vuitton-handbag-12386834.shtml",55
NA,9,"Louis Vuitton ",NA,"55","Fair condition","Cloth ","Brown ","45 cm","32 cm","19 cm","Denmark","Tara","","09/05/2020 ","10275624","",NA,55,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10275624.shtml",55
NA,4,"Louis Vuitton ","Bucket  ","55.74","Very good condition","Leather ","Brown ","27.9 cm","35.6 cm","20.3 cm","United Kingdom","Victoria","","28/10/2020 ","12522863","",NA,55.74,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-bucket-louis-vuitton-handbag-12522863.shtml",55.74
NA,6,"Louis Vuitton ",NA,"59","Fair condition","Plastic ","Blue ",NA,NA,NA,"France","ks","","01/09/2020 ","11608457","",NA,59,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-plastic-louis-vuitton-handbag-11608457.shtml",59
NA,20,"Louis Vuitton ","Vivian ","60","Fair condition","Cloth ","Brown ","21 cm","21 cm","9 cm","Italy","Nina","","07/05/2020 ","10252734","",NA,60,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-vivian-louis-vuitton-handbag-10252734.shtml",60
NA,11,"Louis Vuitton ","Pleaty ","65","Very good condition","Denim - Jeans ","Blue ","26 cm","15 cm",NA,"Belgium","Cami","","21/09/2020 ","11874147","",NA,65,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-pleaty-louis-vuitton-handbag-11874147.shtml",65
NA,7,"Louis Vuitton ","Looping ","66.09","Fair condition","Cloth ","Brown ","29.3 cm","33 cm","11 cm","Switzerland","eliane","","16/09/2020 ","11825972","",NA,66.09,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11825972.shtml",66.09
NA,3,"Louis Vuitton ",NA,"69","Fair condition","Patent leather ","Beige ","10.5 cm","17 cm",NA,"France","ks","","18/10/2020 ","12343390","",NA,69,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-12343390.shtml",69
NA,8,"Louis Vuitton ","Salsa ","70","Very good condition","Cloth ","Brown ","32 cm","24 cm","3,5 cm","Portugal","maria","","16/09/2020 ","11774202","",NA,70,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-11774202.shtml",70
NA,7,"Louis Vuitton ","Looping ","70","Good condition","Cloth ","Brown ","35 cm","30 cm","4 cm","France","caroline","","07/09/2020 ","11672379","",NA,70,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11672379.shtml",70
NA,34,"Louis Vuitton ","Cartouchière ","80.65","Fair condition","Cloth ","Camel ","18 cm","21 cm","5 cm","France","tom","","18/09/2020 ","11850589","",NA,120,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/camel-cloth-cartouchiere-louis-vuitton-handbag-11850589.shtml",80.65
NA,10,"Louis Vuitton ","Trotteur ","81.91","Fair condition","Cloth ","Brown ","11 cm","8 cm","8 cm","Vestiaire Collective Hong Kong","Amie","","02/11/2020 ","12575415","",NA,81.91,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trotteur-louis-vuitton-handbag-12575415.shtml",81.91
NA,16,"Louis Vuitton ","Houston ","84.21","Fair condition","Patent leather ","Beige ",NA,NA,NA,"Japan","Brand street tokyo","","02/07/2020 ","10938888","Professional seller",NA,114.48,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-houston-louis-vuitton-handbag-10938888.shtml",84.21
NA,26,"Louis Vuitton ",NA,"85.21","Very good condition","Cloth ","Multicolour ",NA,NA,NA,"Hong Kong","izory","","23/03/2020 ","9761999","",NA,170.42,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-louis-vuitton-handbag-9761999.shtml",85.21
NA,6,"Louis Vuitton ","Reade ","87.18","Fair condition","Patent leather ","Khaki ",NA,NA,NA,"Japan","Brand street tokyo","","07/08/2020 ","11340392","Professional seller",NA,123.28,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/khaki-patent-leather-reade-louis-vuitton-handbag-11340392.shtml",87.18
