"Date_sold","Price_sold","Last_known_price","Initial_price","Likes","Designer","Model","Condition","Material","Color","Location","Seller","Sold_with","Online_since","Reference","Link","Seller_title","Width","Height","Depth"
"June 17, 2020","0,90",0.88,1100.73,1,"Louis Vuitton ","Retiro PM ","Very good condition","Cloth ","Brown ","Japan","fashionista vintage","","12/05/2020 ","10319692","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-retiro-pm-louis-vuitton-handbag-10319692.shtml","Professional seller",NA,NA,NA
"June 17, 2020","0,90",0.88,1144.76,0,"Louis Vuitton ","Alma ","Very good condition","Patent leather ","Brown ","Japan","fashionista vintage","","12/05/2020 ","10320307","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-patent-leather-alma-louis-vuitton-handbag-10320307.shtml","Professional seller",NA,NA,NA
"June 17, 2020","0,90",0.88,1030.28,18,"Louis Vuitton ","Neverfull ","Very good condition","Cloth ","White ","Japan","fashionista vintage","","21/04/2020 ","10051865","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-cloth-neverfull-louis-vuitton-handbag-10051865.shtml","Professional seller",NA,NA,NA
"June 17, 2020","0,90",0.88,933.42,3,"Louis Vuitton ","Tivoli ","Very good condition","Cloth ","Brown ","Japan","fashionista vintage","","21/04/2020 ","10052074","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-tivoli-louis-vuitton-handbag-10052074.shtml","Professional seller",NA,NA,NA
"June 17, 2020","0,90",0.88,907,6,"Louis Vuitton ",NA,"Very good condition","Cloth ","Brown ","Japan","fashionista vintage","","21/04/2020 ","10051923","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10051923.shtml","Professional seller",NA,NA,NA
"June 17, 2020","0,90",0.88,1100.73,4,"Louis Vuitton ","Neverfull ","Very good condition","Cloth ","Brown ","Japan","fashionista vintage","","21/04/2020 ","10051859","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10051859.shtml","Professional seller",NA,NA,NA
"June 17, 2020","0,90",0.88,1109.54,3,"Louis Vuitton ","Neverfull ","Very good condition","Cloth ","Black ","Japan","fashionista vintage","","21/04/2020 ","10052588","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-cloth-neverfull-louis-vuitton-handbag-10052588.shtml","Professional seller",NA,NA,NA
"August 20, 2020","0,86",0.88,1021.48,2,"Louis Vuitton ","Carry All ","Very good condition","Leather ","Black ","Japan","fashionista vintage","","21/04/2020 ","10052573","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-carry-all-louis-vuitton-handbag-10052573.shtml","Professional seller",NA,NA,NA
"May 23, 2020","15",15,15,15,"Louis Vuitton ","Alma BB ","Very good condition","Denim - Jeans ","Blue ","France","sophie","","23/05/2020 ","10446099","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-alma-bb-louis-vuitton-handbag-10446099.shtml","","23,5 cm","17,5 cm","11,5 cm"
"October 16, 2020","18,16",18.2,18.2,8,"Louis Vuitton ","Twist ","Never worn","Leather ","Red ","United Kingdom","Ellie","","16/10/2020 ","12302042","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-leather-twist-louis-vuitton-handbag-12302042.shtml","","17 cm","23 cm","9 cm"
"June 22, 2020","24",24,25,12,"Louis Vuitton ",NA,"Good condition","Cotton ","Brown ","France","the brand collector","","18/06/2020 ","10776727","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cotton-louis-vuitton-handbag-10776727.shtml","Professional seller",NA,NA,NA
"November 3, 2020","29",29,29,3,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","Italy","daniela","","03/11/2020 ","12606609","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-12606609.shtml","","21 cm","30 cm","17 cm"
"September 17, 2020","41",41,41,29,"Louis Vuitton ","No<U+00E9> ","Good condition","Cloth ","Brown ","France","celine","","17/09/2020 ","11827860","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11827860.shtml","Professional seller","26 cm","34 cm","18,5 cm"
"July 16, 2020","49",49,49,2,"Louis Vuitton ",NA,"Fair condition","Leather ","Brown ","France","ks","Dustbag ,Original box","16/07/2020 ","11106961","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-11106961.shtml","",NA,NA,NA
"October 26, 2020","55",55,65,6,"Louis Vuitton ",NA,"Never worn","Cotton ","Beige ","The Canary Islands","ruth","","21/10/2020 ","12386834","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cotton-louis-vuitton-handbag-12386834.shtml","","56 cm","39.5 cm",NA
"May 9, 2020","55",55,55,9,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","Denmark","Tara","","09/05/2020 ","10275624","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10275624.shtml","","45 cm","32 cm","19 cm"
"October 28, 2020","55,37",55.74,55.74,5,"Louis Vuitton ","Bucket  ","Very good condition","Leather ","Brown ","United Kingdom","Victoria","","28/10/2020 ","12522863","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-bucket-louis-vuitton-handbag-12522863.shtml","","27.9 cm","35.6 cm","20.3 cm"
